交通調査基本区間番号,世代管理番号（十の位）,世代管理番号（一の位）,道路種別,路線番号,路線名,起点側／接続区分,起点側／交通調査基本区間番号,起点側／世代管理番号（十の位）,起点側／路線名等,起点側／備考,終点側／接続区分,終点側／交通調査基本区間番号,終点側／世代管理番号（十の位）,終点側／路線名等,終点側／備考,現道旧道区分,管理区分,市区町村コード,自動車専用道路の別,区間種別,分離区間／分離区分,分離区間／交通調査基本区間番号,区間延長（ｋｍ）,高規格道路の別,一般国道指定区間,一方通行フラグ,平成２７年度／交通調査基本区間番号,平成２７年度／世代管理番号（十の位）,平成２７年度／世代管理番号（一の位）,交通量／都道府県指定市コード,交通量／調査単位区間番号,上り／観測地点交通調査基本区間番号,上り／交通量観測地点地名,上り／令和３年度調査交通量観測・非観測の別,上り／個別調査結果活用の別,上り／１２時間・２４時間観測の別,上り／交通量観測年月日,上り／昼間１２時間自動車類交通量／小型車（台）,上り／昼間１２時間自動車類交通量／大型車（台）,上り／昼間１２時間自動車類交通量／合計（台）,上り／２４時間自動車類交通量／小型車（台）,上り／２４時間自動車類交通量／大型車（台）,上り／２４時間自動車類交通量／合計（台）,下り／観測地点交通調査基本区間番号,下り／交通量観測地点地名,下り／令和３年度調査交通量観測・非観測の別,下り／個別調査結果活用の別,下り／１２時間・２４時間観測の別,下り／交通量観測年月日,下り／昼間１２時間自動車類交通量／小型車（台）,下り／昼間１２時間自動車類交通量／大型車（台）,下り／昼間１２時間自動車類交通量／合計（台）,下り／２４時間自動車類交通量／小型車（台）,下り／２４時間自動車類交通量／大型車（台）,下り／２４時間自動車類交通量／合計（台）,昼間１２時間自動車類交通量（上下合計）／小型車（台）,昼間１２時間自動車類交通量（上下合計）／大型車（台）,昼間１２時間自動車類交通量（上下合計）／合計（台）,２４時間自動車類交通量（上下合計）／小型車（台）,２４時間自動車類交通量（上下合計）／大型車（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,昼間１２時間ピーク比率（％）,昼間１２時間大型車混入率（％）,混雑度,平成２７年度／交通量／都道府県指定市コード,平成２７年度／交通量／調査単位区間番号,平成２７年度／昼間１２時間自動車類交通量（台）,平成２７年度／２４時間自動車類交通量（台）,旅行速度／都道府県指定市コード,旅行速度／調査単位区間番号,朝夕（混雑時）／上り／旅行速度計測・非計測の別,朝夕（混雑時）／上り／旅行速度／小型車（ｋｍ／ｈ）,朝夕（混雑時）／上り／旅行速度／大型車（ｋｍ／ｈ）,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／上り／取得件数／小型車（件）,朝夕（混雑時）／上り／取得件数／大型車（件）,朝夕（混雑時）／上り／取得件数／合計（件）,朝夕（混雑時）／下り／旅行速度計測・非計測の別,朝夕（混雑時）／下り／旅行速度／小型車（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／大型車（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／取得件数／小型車（件）,朝夕（混雑時）／下り／取得件数／大型車（件）,朝夕（混雑時）／下り／取得件数／合計（件）,昼間（非混雑時）／上り／旅行速度計測・非計測の別,昼間（非混雑時）／上り／旅行速度／小型車（ｋｍ／ｈ）,昼間（非混雑時）／上り／旅行速度／大型車（ｋｍ／ｈ）,昼間（非混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,昼間（非混雑時）／上り／取得件数／小型車（件）,昼間（非混雑時）／上り／取得件数／大型車（件）,昼間（非混雑時）／上り／取得件数／合計（件）,昼間（非混雑時）／下り／旅行速度計測・非計測の別,昼間（非混雑時）／下り／旅行速度／小型車（ｋｍ／ｈ）,昼間（非混雑時）／下り／旅行速度／大型車（ｋｍ／ｈ）,昼間（非混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,昼間（非混雑時）／下り／取得件数／小型車（件）,昼間（非混雑時）／下り／取得件数／大型車（件）,昼間（非混雑時）／下り／取得件数／合計（件）,昼間１２時間平均旅行速度（時間帯別交通量加重）／上り（ｋｍ／ｈ）,昼間１２時間平均旅行速度（時間帯別交通量加重）／下り（ｋｍ／ｈ）,平成２７年度／旅行速度／都道府県指定市コード,平成２７年度／旅行速度／調査単位区間番号,平成２７年度／混雑時／上り／平均旅行速度（ｋｍ／ｈ）,平成２７年度／混雑時／下り／平均旅行速度（ｋｍ／ｈ）,平成２７年度／昼間非混雑時／上り／平均旅行速度（ｋｍ／ｈ）,平成２７年度／昼間非混雑時／下り／平均旅行速度（ｋｍ／ｈ）,道路状況／都道府県指定市コード,道路状況／調査単位区間番号,区間延長／改良済み区間率（％）,区間延長／5.5ｍ以上改良済み区間率（％）,幅員構成／道路部幅員（ｍ）,幅員構成／車道部幅員（ｍ）,幅員構成／車道幅員（ｍ）,幅員構成／中央帯幅員（ｍ）,幅員構成／歩道幅員／上り（ｍ）,幅員構成／歩道幅員／下り（ｍ）,幅員構成／自転車道幅員／上り（ｍ）,幅員構成／自転車道幅員／下り（ｍ）,幅員構成／停車帯等幅員／上り（ｍ）,幅員構成／停車帯等幅員／下り（ｍ）,車線数,交通安全施設等／歩道設置率（％）,交通安全施設等／自転車歩行者道設置率（％）,交通安全施設等／自転車道設置率（％）,交通安全施設等／自転車レーン設置率（％）,交通安全施設等／両側歩道設置率（％）,交通安全施設等／両側自転車歩行者道設置率（％）,交通安全施設等／両側自転車道設置率（％）,交通安全施設等／両側自転車レーン設置率（％）,交通安全施設等／歩道代表幅員（ｍ）,交通安全施設等／自転車道代表幅員（ｍ）,バス路線／バス路線延長率（％）,バス路線／バス優先・専用レーンの有無,交差点密度／信号交差点（箇所／ｋｍ）,交差点密度／信号のない交差点（箇所／ｋｍ）,代表信号交差点／青時間比（％）,代表信号交差点／右折専用車線の有無等,鉄道との平面交差箇所の有無,指定最高速度（ｋｍ／ｈ）,付加車線及び登坂車線設置箇所の有無／上り,付加車線及び登坂車線設置箇所の有無／下り,代表沿道状況,中央分離帯／中央分離帯の種類,中央分離帯／中央分離帯の設置状況,軌道の有無,自転車通行可能区分,異常気象時等通行規制区分,リバーシブルレーン運用の有無,アクセスコントロール,平成２７年度／道路状況／都道府県指定市コード,平成２７年度／道路状況／調査単位区間番号,交通調査基本区間番号,世代管理番号（十の位）,世代管理番号（一の位）,道路種別,路線番号,路線名
13110100010,0,0,1,1010,東名高速道路,3,14110100090,0,東名高速道路,,3,14110100110,0,東名高速道路,,1,4,13209,1,0,0,,0.5,1,0,0,13110100010,0,0,13000,10,13110100010,横浜町田～綾瀬スマート,1,0,2,20210929,34882,12865,47747,45970,26038,72008,13110100010,横浜町田～綾瀬スマート,1,0,2,20210929,31981,15813,47794,42802,25615,68417,66863,28678,95541,88772,51653,140425,1.47,9.3,30,1.04,13000,3010,87610,138067,13000,10,1,57.1,54.1,56.1,51299,84885,136184,1,37.5,37.8,37.6,80588,63621,144209,1,74.3,68.2,72.4,235829,353178,589007,1,49.5,48.9,49.3,217530,457343,674873,65.9,44.6,13000,3010,54.7,61.1,72.7,63.8,13000,10,100,100,33.6,32.1,21.6,4.5,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,100,3,0,0,,,2,100,1,2,2,3,1,4,2,2,2,1,13000,3010,13110100010,0,0,1,1010,東名高速道路
13110100030,0,0,1,1010,東名高速道路,1,13200300100,0,高速３号渋谷線,,3,14110100010,0,東名高速道路,,1,4,13112,1,0,0,,3.2,1,0,0,13110100030,0,0,13100,20,13110100030,東京～東名川崎,1,0,2,20210929,22701,5670,28371,33124,13320,46444,13110100030,東京～東名川崎,1,0,2,20210929,23375,7224,30599,33758,13092,46850,46076,12894,58970,66882,26412,93294,1.58,9.5,21.9,0.65,13100,3020,44557,81809,13100,20,1,14.4,13.1,14.1,37797,29481,67278,1,52.5,51.1,52.3,40032,21936,61968,1,43.2,37.6,41.8,153377,130631,284008,1,78.3,73.5,77,132207,146299,278506,25.6,66.4,13100,3020,54.6,82.5,48.2,87.4,13100,20,100,100,33.6,32.1,21.6,4.5,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,100,3,0,0,,,2,100,1,2,2,3,1,4,2,2,2,1,13100,3020,13110100030,0,0,1,1010,東名高速道路
13111010005,0,0,1,1101,中央自動車道富士吉田線,4,13200400170,0,高速４号新宿線,,1,13400140350,0,新宿国立線,高井戸IC,1,4,13115,1,0,0,,0.8,1,0,0,13111010005,0,0,13100,30,13111010005,高速４号新宿線～新宿国立線高井戸IC,1,0,2,20210929,16819,4588,21407,24753,6753,31506,13111010005,高速４号新宿線～新宿国立線高井戸IC,1,0,2,20210929,21695,5918,27613,31490,8591,40081,38514,10506,49020,56243,15344,71587,1.46,9.1,21.4,0.8,13100,10,59751,93073,13100,30,1,15.5,14.4,15.3,30848,12440,43288,1,65.7,63.3,65.1,51674,17955,69629,1,34.4,28.2,32.9,129377,73958,203335,1,65.5,62,64.7,172362,131536,303898,23.9,64.8,13100,10,23.3,69.3,41.7,70.3,13100,30,100,100,18.5,18.5,14,1.5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,100,3,0,0,,,2,60,2,2,2,2,1,4,2,2,2,1,13100,10,13111010005,0,0,1,1101,中央自動車道富士吉田線
13111010010,0,0,1,1101,中央自動車道富士吉田線,1,13400140350,0,新宿国立線,高井戸IC,6,,,杉並区・世田谷区境,,1,4,13115,1,0,0,,0.3,1,0,0,13111010010,0,0,13100,40,13111010010,新宿国立線高井戸IC～中央自動車道富士吉田線,1,0,2,20210929,21621,5901,27522,31740,8660,40400,13111010010,新宿国立線高井戸IC～中央自動車道富士吉田線,1,0,2,20210929,22639,6179,28818,32889,8975,41864,44260,12080,56340,64629,17635,82264,1.46,9.1,21.4,0.94,13100,20,59751,93073,13100,40,1,19.3,19.2,19.2,39514,17842,57356,1,69.4,65.8,68.6,51644,17932,69576,1,39.7,37.3,39.1,176226,117411,293637,1,66.6,62.2,65.6,172394,130867,303261,29.2,66.6,13100,20,31.4,69.3,49.1,70.3,13100,40,100,100,18.5,18.5,14,1.5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,100,3,0,0,,,2,60,2,2,2,2,1,4,2,2,2,1,13100,20,13111010010,0,0,1,1101,中央自動車道富士吉田線
13111010020,0,0,1,1101,中央自動車道富士吉田線,6,,,杉並区・世田谷区境,,6,,,世田谷区・三鷹市境,,1,4,13112,1,0,0,,1.6,1,0,0,13111010020,0,0,13100,40,13111010010,新宿国立線高井戸IC～中央自動車道富士吉田線,1,0,2,20210929,21621,5901,27522,31740,8660,40400,13111010010,新宿国立線高井戸IC～中央自動車道富士吉田線,1,0,2,20210929,22639,6179,28818,32889,8975,41864,44260,12080,56340,64629,17635,82264,1.46,9.1,21.4,0.94,13100,30,59751,93073,13100,50,1,22.6,21.7,22.4,40122,18361,58483,1,72.3,68.8,71.5,51552,17630,69182,1,47,41.9,45.8,175357,115869,291226,1,71.1,66.7,70.1,172065,128011,300076,34.1,70.6,13100,30,39,76.2,56.3,75.3,13100,50,100,100,18.5,18.5,14,1.5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,100,3,0,0,,,2,60,2,2,2,2,1,4,2,2,2,1,13100,30,13111010020,0,0,1,1101,中央自動車道富士吉田線
13111010030,0,0,1,1101,中央自動車道富士吉田線,6,,,世田谷区・三鷹市境,,6,,,三鷹市・世田谷区境,,1,4,13204,1,0,0,,0.3,1,0,0,13111010030,0,0,13000,50,13111010030,中央自動車道富士吉田線～中央自動車道富士吉田線,1,0,2,20210929,21621,5901,27522,31740,8660,40400,13111010030,中央自動車道富士吉田線～中央自動車道富士吉田線,1,0,2,20210929,22639,6179,28818,32889,8975,41864,44260,12080,56340,64629,17635,82264,1.46,9.1,21.4,0.94,13000,40,59751,93073,13000,60,1,23.8,22.3,23.4,41546,21055,62601,1,71.5,68.3,70.8,51981,18926,70907,1,47.4,42.2,46.1,179905,136986,316891,1,71.2,66.7,70.1,173465,138179,311644,35,70.3,13000,40,40.7,71,56.2,74.9,13000,60,100,100,22.5,22.5,14.5,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,100,3,0,0,,,2,60,2,2,2,3,1,4,2,2,2,1,13000,40,13111010030,0,0,1,1101,中央自動車道富士吉田線
13111010040,0,0,1,1101,中央自動車道富士吉田線,6,,,三鷹市・世田谷区境,,6,,,世田谷区・三鷹市境,,1,4,13112,1,0,0,,0.1,1,0,0,13111010040,0,0,13100,60,13111010040,中央自動車道富士吉田線～中央自動車道富士吉田線,1,0,2,20210929,21621,5901,27522,31740,8660,40400,13111010040,中央自動車道富士吉田線～中央自動車道富士吉田線,1,0,2,20210929,22639,6179,28818,32889,8975,41864,44260,12080,56340,64629,17635,82264,1.46,9.1,21.4,0.94,13100,50,59751,93073,13100,70,1,23.7,22.1,23.3,41569,21141,62710,1,72.2,68.2,71.3,52000,18973,70973,1,46.8,40.5,45.3,179916,137143,317059,1,71.9,67.4,70.9,173507,138547,312054,34.6,71,13100,50,38.2,72.7,55.7,76.8,13100,70,100,100,22.5,22.5,14.5,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,100,3,0,0,,,2,60,2,2,2,3,1,4,2,2,2,1,13100,50,13111010040,0,0,1,1101,中央自動車道富士吉田線
13111010050,0,0,1,1101,中央自動車道富士吉田線,6,,,世田谷区・三鷹市境,,6,,,三鷹市・調布市境,,1,4,13204,1,0,0,,0.5,1,0,0,13111010050,0,0,13000,70,13111010050,中央自動車道富士吉田線～一般国道２０号調布IC,1,0,2,20210929,21621,5901,27522,31740,8660,40400,13111010050,中央自動車道富士吉田線～一般国道２０号調布IC,1,0,2,20210929,22639,6179,28818,32889,8975,41864,44260,12080,56340,64629,17635,82264,1.46,9.1,21.4,0.94,13000,60,59751,93073,13000,80,1,23,21.9,22.7,41618,21202,62820,1,69.8,66.5,69.1,51962,18960,70922,1,45.8,41.1,44.7,179683,136184,315867,1,71.1,67.2,70.2,173388,137982,311370,33.9,69.8,13000,60,38.6,70.2,55.5,74.1,13000,80,100,100,22.5,22.5,14.5,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,100,3,0,0,,,2,60,2,2,2,3,1,4,2,2,2,1,13000,60,13111010050,0,0,1,1101,中央自動車道富士吉田線
13111010060,0,0,1,1101,中央自動車道富士吉田線,6,,,三鷹市・調布市境,,6,,,調布市・三鷹市境,,1,4,13208,1,0,0,,0.2,1,0,0,13111010060,0,0,13000,70,13111010050,中央自動車道富士吉田線～一般国道２０号調布IC,1,0,2,20210929,21621,5901,27522,31740,8660,40400,13111010050,中央自動車道富士吉田線～一般国道２０号調布IC,1,0,2,20210929,22639,6179,28818,32889,8975,41864,44260,12080,56340,64629,17635,82264,1.46,9.1,21.4,0.94,13000,70,59751,93073,13000,90,1,20.6,19.9,20.4,41642,21403,63045,1,64.3,62.2,63.9,51966,19049,71015,1,42.9,39,42,179637,136431,316068,1,66.7,63.2,65.9,173416,138413,311829,31.2,65.2,13000,70,37.3,66.5,55.5,71.3,13000,90,100,100,22.5,22.5,14.5,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,100,3,0,0,,,2,60,2,2,2,3,1,4,2,2,2,1,13000,70,13111010060,0,0,1,1101,中央自動車道富士吉田線
13111010070,0,0,1,1101,中央自動車道富士吉田線,6,,,調布市・三鷹市境,,6,,,三鷹市・調布市境,,1,4,13204,1,0,0,,1.1,1,0,0,13111010070,0,0,13000,70,13111010050,中央自動車道富士吉田線～一般国道２０号調布IC,1,0,2,20210929,21621,5901,27522,31740,8660,40400,13111010050,中央自動車道富士吉田線～一般国道２０号調布IC,1,0,2,20210929,22639,6179,28818,32889,8975,41864,44260,12080,56340,64629,17635,82264,1.46,9.1,21.4,0.94,13000,80,59751,93073,13000,100,1,16.6,15.6,16.3,41366,21557,62923,1,65.8,60.9,64.7,50851,19007,69858,1,39.7,35.5,38.7,175495,134057,309552,1,65.3,60.2,64.1,170440,137561,308001,26.7,64.3,13000,80,38.2,58.5,52.8,61.9,13000,100,100,100,22.5,22.5,14.5,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,100,3,0,0,,,2,60,2,2,2,3,1,4,2,2,2,1,13000,80,13111010070,0,0,1,1101,中央自動車道富士吉田線
